;Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
225;ES_28087_2700_2016;Molinos (Los);53964.0;2016;2700;ES_28087
226;ES_28088_2700_2016;Montejo de la Sierra;11191.0;2016;2700;ES_28088
227;ES_28089_2700_2016;Moraleja de Enmedio;138744.0;2016;2700;ES_28089
228;ES_28090_2700_2016;Moralzarzal;167723.0;2016;2700;ES_28090
229;ES_28091_2700_2016;Morata de Tajuña;122859.0;2016;2700;ES_28091
230;ES_28093_2700_2016;Navacerrada;49973.0;2016;2700;ES_28093
231;ES_28094_2700_2016;Navalafuente;12297.0;2016;2700;ES_28094
232;ES_28095_2700_2016;Navalagamella;23390.0;2016;2700;ES_28095
233;ES_28096_2700_2016;Navalcarnero;517563.0;2016;2700;ES_28096
234;ES_28097_2700_2016;Navarredonda y San Mamés;4738.0;2016;2700;ES_28097
235;ES_28099_2700_2016;Navas del Rey;37940.0;2016;2700;ES_28099
236;ES_28100_2700_2016;Nuevo Baztán;85142.0;2016;2700;ES_28100
237;ES_28101_2700_2016;Olmeda de las Fuentes;8260.0;2016;2700;ES_28101
238;ES_28102_2700_2016;Orusco de Tajuña;25755.0;2016;2700;ES_28102
239;ES_28104_2700_2016;Paracuellos de Jarama;391093.0;2016;2700;ES_28104
240;ES_28107_2700_2016;Patones;10306.0;2016;2700;ES_28107
241;ES_28108_2700_2016;Pedrezuela;62382.0;2016;2700;ES_28108
242;ES_28109_2700_2016;Pelayos de la Presa;34831.0;2016;2700;ES_28109
243;ES_28110_2700_2016;Perales de Tajuña;39198.0;2016;2700;ES_28110
244;ES_28111_2700_2016;Pezuela de las Torres;12242.0;2016;2700;ES_28111
245;ES_28112_2700_2016;Pinilla del Valle;2888.0;2016;2700;ES_28112
246;ES_28114_2700_2016;Piñuécar-Gandullas;4446.0;2016;2700;ES_28114
247;ES_28116_2700_2016;Pozuelo del Rey;9471.0;2016;2700;ES_28116
248;ES_28117_2700_2016;Prádena del Rincón;3825.0;2016;2700;ES_28117
249;ES_28118_2700_2016;Puebla de la Sierra;2067.0;2016;2700;ES_28118
250;ES_28902_2700_2016;Puentes Viejas;15303.0;2016;2700;ES_28902
251;ES_28119_2700_2016;Quijorna;31320.0;2016;2700;ES_28119
252;ES_28120_2700_2016;Rascafría;31875.0;2016;2700;ES_28120
253;ES_28121_2700_2016;Redueña;10702.0;2016;2700;ES_28121
254;ES_28122_2700_2016;Ribatejada;9802.0;2016;2700;ES_28122
255;ES_28124_2700_2016;Robledillo de la Jara;2627.0;2016;2700;ES_28124
256;ES_28125_2700_2016;Robledo de Chavela;55858.0;2016;2700;ES_28125
257;ES_28126_2700_2016;Robregordo;2469.0;2016;2700;ES_28126
258;ES_28128_2700_2016;Rozas de Puerto Real;43634.0;2016;2700;ES_28128
259;ES_28129_2700_2016;San Agustín del Guadalix;280866.0;2016;2700;ES_28129
260;ES_28131_2700_2016;San Lorenzo de El Escorial;331486.0;2016;2700;ES_28131
261;ES_28133_2700_2016;San Martín de Valdeiglesias;129231.0;2016;2700;ES_28133
262;ES_28132_2700_2016;San Martín de la Vega;389782.0;2016;2700;ES_28132
263;ES_28135_2700_2016;Santa María de la Alameda;25091.0;2016;2700;ES_28135
264;ES_28136_2700_2016;Santorcaz;6098.0;2016;2700;ES_28136
265;ES_28137_2700_2016;Santos de la Humosa (Los);23931.0;2016;2700;ES_28137
266;ES_28138_2700_2016;Serna del Monte (La);1762.0;2016;2700;ES_28138
267;ES_28140_2700_2016;Serranillos del Valle;69918.0;2016;2700;ES_28140
268;ES_28141_2700_2016;Sevilla la Nueva;120866.0;2016;2700;ES_28141
269;ES_28143_2700_2016;Somosierra;2164.0;2016;2700;ES_28143
270;ES_28144_2700_2016;Soto del Real;176545.0;2016;2700;ES_28144
271;ES_28145_2700_2016;Talamanca de Jarama;50441.0;2016;2700;ES_28145
272;ES_28146_2700_2016;Tielmes;40707.0;2016;2700;ES_28146
273;ES_28147_2700_2016;Titulcia;13932.0;2016;2700;ES_28147
274;ES_28150_2700_2016;Torrejón de Velasco;68328.0;2016;2700;ES_28150
275;ES_28149_2700_2016;Torrejón de la Calzada;197384.0;2016;2700;ES_28149
276;ES_28151_2700_2016;Torrelaguna;67194.0;2016;2700;ES_28151
